seq;url;event;timestamp;cart_value
1;home;screenview_load;1547711141;
2;home;click;1547711157;
3;home;scroll;1547711173;
4;home;click;1547711189;
5;home;click;1547711205;
6;home;click;1547711221;
7;search;screenview_load;1547711237;
8;search;click;1547711253;
9;search;scroll;1547711269;
10;search;click;1547711285;
11;search;click;1547711301;
12;search;click;1547711317;
13;search;click;1547711333;
14;search;scroll;1547711349;
15;search;click;1547711365;
16;search;click;1547711381;
17;search;click;1547711397;
18;checkout_step1;screenview_load;1547711413;350$
19;checkout_step1;click;1547711429;
20;checkout_step1;click;1547711445;
21;checkout_step1;click;1547711461;
22;checkout_step1;scroll;1547711477;
23;checkout_step2;screenview_load;1547711493;
24;checkout_step2;click;1547711509;
25;checkout_step2;click;1547711525;
26;checkout_step2;click;1547711541;
27;checkout_step2;click;1547711557;
28;checkout_step2;click;1547711573;
29;home;screenview_load;1547711589;
30;home;click;1547711605;
31;home;click;1547711621;
32;home;click;1547711637;
33;home;scroll;1547711653;
34;home;;1547711669;
35;search;screenview_load;1547711685;
36;search;click;1547711701;
37;search;click;1547711717;
38;search;click;1547711733;
39;search;scroll;1547711749;
40;search;click;1547711765;
41;checkout_step1;screenview_load;1547711781;353$
42;checkout_step1;click;1547711797;
43;checkout_step1;click;1547711813;
44;checkout_step1;click;1547711829;
45;checkout_step1;click;1547711845;
46;checkout_step2;screenview_load;1547711861;
47;checkout_step2;click;1547711877;
48;checkout_step2;click;1547711893;
49;checkout_step2;click;1547711909;
50;checkout_step2;click;1547711925;
51;checkout_step2;click;1547711941;
52;checkout_step3;screenview_load;1547711957;
53;checkout_step3;click;1547711973;
54;checkout_step3;click;1547711989;
55;checkout_step3;click;1547712005;
56;checkout_step_final;click;1547712021;353$
57;register;screenview_load;1547712037;
58;register;click;1547712053;
59;register;click;1547712069;
60;register;click;1547712085;
61;faq;screenview_load;1547712101;
62;faq;click;1547712117;
63;faq;click;1547712133;
64;faq;click;1547712149;
65;faq;scroll;1547712165;
